Week,Florida,United States,Illinois
2020-08-02,53,63,68
2020-08-09,54,64,66
2020-08-16,54,62,66
2020-08-23,51,59,59
2020-08-30,51,60,60
2020-09-06,54,61,65
2020-09-13,53,59,64
2020-09-20,53,59,63
2020-09-27,60,71,75
2020-10-04,54,61,64
2020-10-11,56,65,66
2020-10-18,54,66,65
2020-10-25,52,64,67
2020-11-01,42,54,51
2020-11-08,53,65,64
2020-11-15,54,64,69
2020-11-22,58,69,76
2020-11-29,59,73,78
2020-12-06,63,72,71
2020-12-13,59,71,75
2020-12-20,60,75,73
2020-12-27,61,70,72
2021-01-03,55,63,66
2021-01-10,56,63,67
2021-01-17,57,62,66
2021-01-24,54,64,62
2021-01-31,58,65,63
2021-02-07,54,60,59
2021-02-14,54,65,62
2021-02-21,54,66,66
2021-02-28,54,63,61
2021-03-07,53,61,64
2021-03-14,53,60,59
2021-03-21,53,59,58
2021-03-28,54,62,63
2021-04-04,54,60,60
2021-04-11,53,61,63
2021-04-18,52,64,64
2021-04-25,53,61,59
2021-05-02,53,62,64
2021-05-09,55,65,61
2021-05-16,53,67,57
2021-05-23,53,61,63
2021-05-30,54,67,58
2021-06-06,54,61,60
2021-06-13,59,67,61
2021-06-20,56,68,64
2021-06-27,58,64,60
2021-07-04,56,67,64
2021-07-11,55,67,65
2021-07-18,56,68,66
2021-07-25,57,68,65
2021-08-01,55,65,65
2021-08-08,54,66,64
2021-08-15,57,65,65
2021-08-22,55,66,64
2021-08-29,54,65,68
2021-09-05,56,63,68
2021-09-12,57,67,71
2021-09-19,56,67,70
2021-09-26,64,78,78
2021-10-03,58,66,63
2021-10-10,55,73,67
2021-10-17,58,66,70
2021-10-24,55,70,67
2021-10-31,59,70,73
2021-11-07,64,76,76
2021-11-14,63,71,78
2021-11-21,71,82,86
2021-11-28,66,70,80
2021-12-05,62,77,76
2021-12-12,62,70,71
2021-12-19,61,77,73
2021-12-26,65,76,72
2022-01-02,64,71,69
2022-01-09,61,69,71
2022-01-16,62,68,69
2022-01-23,62,74,70
2022-01-30,60,81,65
2022-02-06,62,74,68
2022-02-13,61,70,70
2022-02-20,60,72,72
2022-02-27,61,69,68
2022-03-06,59,71,68
2022-03-13,60,70,73
2022-03-20,63,70,65
2022-03-27,59,67,68
2022-04-03,57,68,66
2022-04-10,62,69,70
2022-04-17,59,66,68
2022-04-24,62,68,67
2022-05-01,59,69,66
2022-05-08,58,65,63
2022-05-15,58,67,65
2022-05-22,59,68,66
2022-05-29,59,69,72
2022-06-05,61,68,70
2022-06-12,60,70,70
2022-06-19,59,74,67
2022-06-26,61,69,67
2022-07-03,62,73,69
2022-07-10,63,73,72
2022-07-17,63,75,72
2022-07-24,64,75,73
2022-07-31,63,73,75
2022-08-07,61,73,75
2022-08-14,62,78,72
2022-08-21,62,74,73
2022-08-28,63,69,71
2022-09-04,62,72,73
2022-09-11,61,69,69
2022-09-18,56,69,70
2022-09-25,57,77,77
2022-10-02,59,72,75
2022-10-09,62,75,73
2022-10-16,61,72,74
2022-10-23,59,66,68
2022-10-30,62,67,72
2022-11-06,57,72,70
2022-11-13,63,72,76
2022-11-20,70,82,77
2022-11-27,65,76,78
2022-12-04,64,75,77
2022-12-11,65,80,83
2022-12-18,66,78,79
2022-12-25,73,83,81
2023-01-01,68,74,81
2023-01-08,66,73,76
2023-01-15,65,79,78
2023-01-22,65,70,75
2023-01-29,63,73,73
2023-02-05,61,72,71
2023-02-12,60,72,69
2023-02-19,64,78,75
2023-02-26,64,75,76
2023-03-05,61,74,72
2023-03-12,65,75,71
2023-03-19,64,74,72
2023-03-26,61,76,69
2023-04-02,62,72,70
2023-04-09,57,68,66
2023-04-16,60,72,71
2023-04-23,63,72,73
2023-04-30,60,70,72
2023-05-07,60,69,66
2023-05-14,64,72,71
2023-05-21,63,74,70
2023-05-28,65,74,73
2023-06-04,59,71,74
2023-06-11,62,72,75
2023-06-18,66,72,74
2023-06-25,63,77,73
2023-07-02,64,74,75
2023-07-09,65,78,75
2023-07-16,63,74,73
2023-07-23,64,74,74
2023-07-30,65,73,71
2023-08-06,61,74,74
2023-08-13,63,74,75
2023-08-20,64,74,76
2023-08-27,59,71,74
2023-09-03,64,77,78
2023-09-10,61,72,73
2023-09-17,64,71,73
2023-09-24,72,78,78
2023-10-01,66,71,74
2023-10-08,62,74,76
2023-10-15,66,74,73
2023-10-22,66,72,72
2023-10-29,64,69,73
2023-11-05,70,79,79
2023-11-12,67,76,80
2023-11-19,74,92,87
2023-11-26,71,81,81
2023-12-03,72,84,87
2023-12-10,72,80,85
2023-12-17,69,81,86
2023-12-24,77,89,87
2023-12-31,74,85,84
2024-01-07,72,78,75
2024-01-14,74,77,76
2024-01-21,67,78,76
2024-01-28,65,74,84
2024-02-04,66,74,75
2024-02-11,66,73,72
2024-02-18,72,81,76
2024-02-25,70,73,75
2024-03-03,69,74,72
2024-03-10,66,76,75
2024-03-17,69,77,74
2024-03-24,70,74,78
2024-03-31,66,74,75
2024-04-07,67,73,75
2024-04-14,67,78,75
2024-04-21,70,79,78
2024-04-28,69,75,75
2024-05-05,69,81,79
2024-05-12,67,74,73
2024-05-19,68,76,75
2024-05-26,70,81,80
2024-06-02,71,78,81
2024-06-09,71,74,78
2024-06-16,72,78,80
2024-06-23,71,81,81
2024-06-30,70,80,81
2024-07-07,69,76,78
2024-07-14,69,77,79
2024-07-21,70,81,78
2024-07-28,65,77,74
2024-08-04,68,73,77
2024-08-11,71,80,78
2024-08-18,70,77,76
2024-08-25,70,79,78
2024-09-01,73,80,82
2024-09-08,68,73,75
2024-09-15,73,80,78
2024-09-22,65,76,78
2024-09-29,71,81,78
2024-10-06,58,77,77
2024-10-13,68,76,79
2024-10-20,66,78,80
2024-10-27,67,73,75
2024-11-03,64,67,74
2024-11-10,71,77,82
2024-11-17,74,79,78
2024-11-24,88,88,96
2024-12-01,79,86,85
2024-12-08,72,86,84
2024-12-15,76,86,87
2024-12-22,83,92,95
2024-12-29,82,88,92
2025-01-05,77,81,81
2025-01-12,77,82,83
2025-01-19,75,85,85
2025-01-26,79,84,85
2025-02-02,75,80,77
2025-02-09,75,79,79
2025-02-16,75,85,88
2025-02-23,76,80,86
2025-03-02,77,80,82
2025-03-09,76,83,81
2025-03-16,78,87,85
2025-03-23,80,82,87
2025-03-30,77,84,86
2025-04-06,75,81,85
2025-04-13,77,79,85
2025-04-20,75,79,79
2025-04-27,75,85,85
2025-05-04,75,84,83
2025-05-11,77,80,84
2025-05-18,79,82,86
2025-05-25,80,90,92
2025-06-01,80,84,86
2025-06-08,79,85,90
2025-06-15,86,88,88
2025-06-22,81,89,85
2025-06-29,85,91,89
2025-07-06,90,98,100
2025-07-13,89,97,99
2025-07-20,92,96,96
2025-07-27,100,100,98
2025-08-03,86,92,95
